label x Gender Gender_ID Greek Home_Town In_State Ethnicity Religion Religious like_Math Calculus ACT GPA Party_Hours_per_week Drinks_per_week Sex_Partners Relationships Call_Parents Social_Media Texts Good_or_Well Expected_Income President Illinois_Commitment Family_Income Liberal Political_Party Grade_vs_Learning Parent_Relationship Work_Hours Tuition Career Section
Obs74 74 1 1 0 2 1 0 0 2 0 0 25 4 6 6 1 1 1 2 3 6 90 5 10 130 5 0 7 10 0 100 8 1 
Obs75 75 1 1 0 3 1 0 6 0 1 1 31 3.9 9 8 1 1 1 7 10 5 200 6 5 95 5 0 5 3 0 0 9 1 
Obs76 76 0 0 1 2 1 0 0 2 2 0 32 2.8 6 12 3 3 4 6 10 5 50 6 7 100 6 5 8 7 15 90 6 1 
Obs77 77 0 0 0 2 1 4 3 6 5 1 28 2.7 8 15 50 21 7 2 10 3 100 5 10 60 5 5 4 7 0 100 4 1 
Obs78 78 1 1 0 3 1 1 0 7 6 0 21 3.1 3 2 3 3 4 5 6 6 75 5 10 50 5 0 0 7 15 70 10 1 
Obs79 79 1 1 0 3 0 3 0 10 5 1 31 3.7 0 0 0 1 3 4 5 5 130 5 5 200 4 4 5 7 0 100 6 1 
Obs80 80 0 0 0 2 1 0 0 8 6 1 26 3.5 8 10 1 2 0 0 4 5 150 2 10 150 4 0 6 10 0 0 10 1 
Obs81 81 1 1 0 3 1 2 5 7 5 0 26 2.4 0 2 0 0 3 4 5 0 20 5 10 29 2 0 5 9 0 10 7 1 
Obs82 82 0 0 0 3 1 2 0 3 3 0 27 3.6 0 0 1 1 3 4 6 8 120 2 10 150 5 0 5 7 15 80 8 1 
Obs83 83 1 1 0 3 0 4 6 2 4 1 30 3.9 3 5 1 1 0 4 3 5 70 5 10 100 3 0 7 7 5 70 3 1 
Obs84 84 1 1 1 2 1 0 0 7 1 0 20 3.6 11 10 0 1 19 6 15 10 130 1 4 190 8 1 3 9 0 90 8 1 
Obs85 85 1 1 1 0 1 0 0 8 9 1 28 3.2 12 21 7 2 7 3 6 0 100 6 2 700 5 5 3 9 10 100 9 1 
Obs86 86 1 1 0 3 1 1 0 4 8 1 26 3.1 0 3 2 1 5 3 12 8 160 6 5 40 9 0 5 6 20 0 3 1 
Obs87 87 1 1 0 3 0 3 7 0 3 0 33 4 6 2 1 1 5 10 10 7 500 5 5 900 5 5 5 10 10 90 0 1 
Obs88 88 0 0 0 3 1 2 1 2 5 1 29 1.7 0 15 2 1 2 2 5 7 70 5 5 53 5 0 3 7 0 10 3 1 
Obs89 89 1 1 1 1 1 5 5 1 7 1 24 2.7 12 20 3 2 3 2 5 6 50 5 10 30 5 0 0 8 0 0 0 1 
